,RADeg,decDeg,SNR,numSigPix,deltaT_c,fluxmJy,method,catalog_idx,snr_threshold,iter_num,idx,remeasured,component,patch_num,patch_idx
93,25.09733333333341,5.375333333333352,17.272972526494172,22,86.29077077831369,0.2962715422370557,catalog,25,15.0,10,146,False,cib,0,126
100134,26.880666666666748,5.983333333333354,17.26081729027794,22,63.66995325819337,0.2183742706499577,map,-1,15.0,33,147,True,radio,0,102815
94,26.579333333333413,6.100000000000021,17.166846288025532,21,85.42541349202855,0.2929277313520197,catalog,22,15.0,10,148,False,cib,0,127
95,25.244000000000074,6.304000000000022,17.129068343098233,21,80.0222434133961,0.2742938203688502,catalog,629,15.0,10,149,False,cib,0,128
100135,26.924666666666763,6.649333333333356,17.058558555425815,31,58.23594849558474,0.1994799861181641,catalog,127,15.0,33,150,True,cib,0,102816
96,25.65800000000009,5.89200000000002,17.003554633741775,18,76.04090936125985,0.2608474419657787,catalog,55,15.0,10,151,False,cib,0,129
100136,26.21933333333341,6.244666666666688,16.946873024582334,16,62.95207916699267,0.2158067492554747,map,-1,15.0,33,152,True,radio,0,102817
100137,26.05933333333342,6.437333333333355,16.897469208569312,35,63.18793023822151,0.216534276309009,catalog,8,15.0,33,153,True,cib,0,102818
97,25.187333333333427,5.755333333333353,16.881354981061005,15,80.58517780562313,0.2765030105496124,catalog,100,15.0,10,154,False,cib,0,130
98,26.33866666666676,6.86066666666669,16.877351512603106,18,72.55198502079357,0.2484093713624496,catalog,20,15.0,10,155,False,cib,0,131
99,26.27533333333341,5.434666666666685,16.875502020252803,21,85.61326429446974,0.2939163756402178,catalog,83589,15.0,10,156,False,radio,0,132
100138,25.422000000000093,5.212666666666684,16.85389535125177,18,59.67133661830985,0.2049300473513884,map,-1,15.0,33,157,True,radio,0,102819
100139,26.84333333333341,4.94733333333335,16.816797083034608,18,65.96310332514773,0.2266310095299935,map,-1,15.0,33,158,True,radio,0,102820
100140,26.19933333333341,5.346000000000018,16.642460601688835,29,60.34887583887939,0.207212237285751,catalog,254,15.0,33,159,True,cib,0,102821
101144,25.87466666666675,5.562666666666686,16.589771280021434,21,53.86188582636261,0.184872004315887,catalog,6230,15.0,53,160,True,cib,0,103831
100,25.480000000000093,7.001333333333357,16.52946909373718,24,74.63775479587666,0.255474448966509,catalog,188,15.0,10,161,False,cib,0,133
101,26.92000000000008,6.9333333333333576,16.50363829364174,21,74.12532033977081,0.2537572529744822,catalog,436,15.0,10,162,False,cib,0,134
100141,26.03333333333341,5.78800000000002,16.464488358388735,33,57.75092737348725,0.1981428981847043,catalog,193,15.0,33,163,True,cib,0,102822
102,25.65200000000008,6.566666666666689,16.445615719867355,13,75.83976071678161,0.2598232365385389,map,-1,15.0,10,164,False,radio,0,135
100142,25.67800000000009,5.80200000000002,16.42890972073963,15,56.50794187641678,0.1938734150695411,map,-1,15.0,33,165,True,radio,0,102823
100143,25.50600000000008,5.133333333333351,16.147133459907554,11,57.89381773819392,0.1988502224865214,map,-1,15.0,33,166,True,radio,0,102825
100144,26.938000000000084,6.580666666666689,16.146897973625617,11,55.38624930103128,0.1897451362037119,catalog,340,15.0,33,167,True,cib,0,102826
100145,25.70400000000007,6.253333333333354,16.13913777378533,13,56.69046679218743,0.1943379991372981,catalog,1106,15.0,33,168,True,cib,0,102827
100146,26.15666666666675,5.758666666666686,16.100074443023715,10,56.85584210796173,0.1950820118044453,map,-1,15.0,33,169,True,radio,0,102828
103,26.70400000000009,5.286666666666685,16.093809444952527,10,86.28363311003861,0.2962895643391353,catalog,18,15.0,10,170,False,cib,0,137
100147,26.763333333333417,5.080000000000017,16.075386059017106,12,62.84338767223959,0.2158687565366083,map,-1,15.0,33,171,True,radio,0,102829
100148,26.759333333333423,5.149333333333351,15.94622135473344,10,62.10652191733303,0.2133144161020029,map,-1,15.0,33,172,True,radio,0,102830
100166,26.06600000000009,5.180666666666684,15.906472279134244,7,59.19401926919424,0.2033009897906161,catalog,224,15.0,34,173,True,cib,0,102850
